query,baseline_latency,rag_latency,dp_rag_latency,ndcg_rag,agreement_rag,ndcg_dp_rag,agreement_dp_rag,dp_latency_0p05,ndcg_dp_0p05,agreement_dp_0p05,dp_drift_0p05,dp_latency_0p1,ndcg_dp_0p1,agreement_dp_0p1,dp_drift_0p1,dp_latency_0p15,ndcg_dp_0p15,agreement_dp_0p15,dp_drift_0p15,dp_latency_0p2,ndcg_dp_0p2,agreement_dp_0p2,dp_drift_0p2,ndcg_baseline,dp_mean_drift,dp_mean_ndcg,dp_slowdown_0p05,dp_slowdown_0p1,dp_slowdown_0p15,dp_slowdown_0p2
post-operative knee arthroscopy pain management,1.1401176452636719,0.3039836883544922,0.11801719665527344,2.70027261918903,0.1,2.70027261918903,0.1,1.1248588562011719,4.404706086319427,1.0,1.0,1.0952949523925781,4.404706086319427,1.0,1.0,0.7753372192382812,4.404706086319427,1.0,1.0,0.8249282836914062,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,0.9866164775955312,0.9606859046362591,0.6800501876092979,0.7235466325732383
chest pain with ECG changes,0.3311634063720703,0.14209747314453125,0.1251697540283203,2.6358475718484504,0.1,2.6358475718484504,0.1,0.5941390991210938,4.404706086319427,1.0,1.0,0.5941390991210938,4.404706086319427,1.0,1.0,0.5950927734375,4.404706086319427,1.0,1.0,0.5919933319091797,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,1.7940964668646608,1.7940964668646608,1.7969762364743953,1.787616985242758
abdominal pain after appendectomy,0.3218650817871094,0.13399124145507812,0.12183189392089844,3.2417674746327823,0.1,3.2417674746327823,0.1,0.5950927734375,4.404706086319427,1.0,1.0,0.5931854248046875,4.404706086319427,1.0,1.0,0.5950927734375,4.404706086319427,1.0,1.0,0.5979537963867188,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,1.8488888831445909,1.8429629572370763,1.8488888831445909,1.857777772005863
shortness of breath with asthma history,0.31495094299316406,0.13184547424316406,0.11491775512695312,2.7951815017342154,0.3,2.7951815017342154,0.3,0.5939006805419922,4.404706086319427,1.0,1.0,0.5927085876464844,4.404706086319427,1.0,1.0,0.5929470062255859,4.404706086319427,1.0,1.0,0.5950927734375,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,1.8856926510907128,1.8819076397476964,1.8826646420162998,1.889477662433729
lumbar spine MRI findings,1.026153564453125,0.17595291137695312,0.11610984802246094,3.682353188638562,0.1,3.682353188638562,0.1,0.5979537963867188,4.404706086319427,1.0,1.0,0.5958080291748047,4.404706086319427,1.0,1.0,0.39196014404296875,4.404706086319427,1.0,1.0,0.22792816162109375,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,0.582713754078978,0.5806226760141012,0.3819702598508133,0.22211895889134886
arthroscopic shoulder repair recovery,0.32520294189453125,0.13589859008789062,0.11301040649414062,1.8405636956085683,0.2,1.8405636956085683,0.2,0.5950927734375,4.404706086319427,1.0,1.0,0.5941390991210938,4.404706086319427,1.0,1.0,0.5931854248046875,4.404706086319427,1.0,1.0,0.5939006805419922,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,1.8299120178334256,1.8269794665227952,1.8240469152121646,1.8262463286951374
ECG abnormalities in heart attack,0.3871917724609375,0.12993812561035156,0.1220703125,2.1443368096495483,0.1,2.1443368096495483,0.1,0.8051395416259766,4.404706086319427,1.0,1.0,0.22602081298828125,4.404706086319427,1.0,1.0,0.22411346435546875,4.404706086319427,1.0,1.0,0.22077560424804688,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,2.0794334921663937,0.583743840856897,0.5788177324952355,0.5701970428623278
knee joint effusion,0.3180503845214844,0.1323223114013672,0.11897087097167969,1.9402737000932715,0.1,1.9402737000932715,0.1,0.5960464477539062,4.404706086319427,1.0,1.0,0.5948543548583984,4.404706086319427,1.0,1.0,0.5917549133300781,4.404706086319427,1.0,1.0,0.5917549133300781,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,1.8740629626233958,1.870314836698149,1.8605697092925073,1.8605697092925073
diabetic foot ulcer treatment,0.31495094299316406,0.12969970703125,0.11420249938964844,2.4103203117453713,0.2,2.4103203117453713,0.2,0.5929470062255859,4.404706086319427,1.0,1.0,0.2853870391845703,4.404706086319427,1.0,1.0,0.22411346435546875,4.404706086319427,1.0,1.0,0.21982192993164062,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,1.8826646420162998,0.9061317155180985,0.7115821324870614,0.6979560916522028
post-surgical infection management,0.31495094299316406,0.1289844512939453,0.11086463928222656,2.1169850593873014,0.1,2.1169850593873014,0.1,0.5948543548583984,4.404706086319427,1.0,1.0,0.6587505340576172,4.404706086319427,1.0,1.0,0.5979537963867188,4.404706086319427,1.0,1.0,0.6558895111083984,4.404706086319427,1.0,1.0,1.0,1.0,4.404706086319427,1.8887206601651259,2.0915972681507986,1.8985616896569681,2.0825132409275597
