query,baseline_latency,rag_latency,dp_rag_latency,fhe_latency,ndcg_baseline,ndcg_rag,agreement_rag,ndcg_dp_rag,agreement_dp_rag,dp_latency_0p05,ndcg_dp_0p05,agreement_dp_0p05,dp_drift_0p05,dp_latency_0p1,ndcg_dp_0p1,agreement_dp_0p1,dp_drift_0p1,dp_latency_0p15,ndcg_dp_0p15,agreement_dp_0p15,dp_drift_0p15,dp_latency_0p2,ndcg_dp_0p2,agreement_dp_0p2,dp_drift_0p2,ndcg_fhe,agreement_fhe
post-operative knee arthroscopy pain management,0.4668235778808594,0.11801719665527344,0.00095367431640625,878.6039352416992,1.0,2.70027261918903,0.1,4.404706086319427,1.0,0.9810924530029297,4.404706086319427,1.0,1.0,0.8411407470703125,4.404706086319427,1.0,1.0,0.827789306640625,4.404706086319427,1.0,1.0,0.9000301361083984,4.404706086319427,1.0,1.0,1.181275312938216,0.0
chest pain with ECG changes,0.1308917999267578,0.11897087097167969,0.0,863.8739585876465,1.0,2.6358475718484504,0.1,4.404706086319427,1.0,0.20885467529296875,4.404706086319427,1.0,1.0,0.21386146545410156,4.404706086319427,1.0,1.0,0.2110004425048828,4.404706086319427,1.0,1.0,0.21123886108398438,4.404706086319427,1.0,1.0,0.07336392209936006,0.0
abdominal pain after appendectomy,0.12493133544921875,0.1201629638671875,0.0,886.3632678985596,1.0,3.2417674746327823,0.1,4.404706086319427,1.0,0.20885467529296875,4.404706086319427,1.0,1.0,0.20575523376464844,4.404706086319427,1.0,1.0,0.21314620971679688,4.404706086319427,1.0,1.0,0.21195411682128906,4.404706086319427,1.0,1.0,3.1153216486466553,0.0
shortness of breath with asthma history,0.13589859008789062,0.1201629638671875,0.0,883.6269378662109,1.0,2.7951815017342154,0.3,4.404706086319427,1.0,0.2200603485107422,4.404706086319427,1.0,1.0,0.21982192993164062,4.404706086319427,1.0,1.0,0.2181529998779297,4.404706086319427,1.0,1.0,0.21696090698242188,4.404706086319427,1.0,1.0,3.0512865321623113,0.0
lumbar spine MRI findings,0.14209747314453125,0.11801719665527344,0.00095367431640625,884.4420909881592,1.0,3.682353188638562,0.1,4.404706086319427,1.0,0.21696090698242188,4.404706086319427,1.0,1.0,0.20599365234375,4.404706086319427,1.0,1.0,0.20813941955566406,4.404706086319427,1.0,1.0,0.21386146545410156,4.404706086319427,1.0,1.0,3.1477971176790804,0.3
arthroscopic shoulder repair recovery,0.15473365783691406,0.12993812561035156,0.0011920928955078125,883.2399845123291,1.0,1.8405636956085683,0.2,4.404706086319427,1.0,0.2090930938720703,4.404706086319427,1.0,1.0,0.20813941955566406,4.404706086319427,1.0,1.0,0.2090930938720703,4.404706086319427,1.0,1.0,0.2110004425048828,4.404706086319427,1.0,1.0,0.29849003527675555,0.0
ECG abnormalities in heart attack,0.11968612670898438,0.1270771026611328,0.0007152557373046875,880.1977634429932,1.0,2.1443368096495483,0.1,4.404706086319427,1.0,0.21505355834960938,4.404706086319427,1.0,1.0,0.2110004425048828,4.404706086319427,1.0,1.0,0.21195411682128906,4.404706086319427,1.0,1.0,0.22125244140625,4.404706086319427,1.0,1.0,0.0,0.0
knee joint effusion,0.12683868408203125,0.11301040649414062,0.0007152557373046875,884.1569423675537,1.0,1.9402737000932715,0.1,4.404706086319427,1.0,0.21409988403320312,4.404706086319427,1.0,1.0,0.2129077911376953,4.404706086319427,1.0,1.0,0.21195411682128906,4.404706086319427,1.0,1.0,0.2079010009765625,4.404706086319427,1.0,1.0,2.001184316634636,0.0
diabetic foot ulcer treatment,0.14400482177734375,0.1220703125,0.00095367431640625,875.6601810455322,1.0,2.4103203117453713,0.2,4.404706086319427,1.0,0.21219253540039062,4.404706086319427,1.0,1.0,0.20694732666015625,4.404706086319427,1.0,1.0,0.2028942108154297,4.404706086319427,1.0,1.0,0.20503997802734375,4.404706086319427,1.0,1.0,2.32163045100494,0.1
post-surgical infection management,0.22983551025390625,0.11491775512695312,0.0,875.6809234619141,1.0,2.1169850593873014,0.1,4.404706086319427,1.0,0.2541542053222656,4.404706086319427,1.0,1.0,0.2167224884033203,4.404706086319427,1.0,1.0,0.22411346435546875,4.404706086319427,1.0,1.0,0.21028518676757812,4.404706086319427,1.0,1.0,0.9110727954218546,0.1
